mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-miR-181a-5p	8172,892892196609	0,09131612958116879	0,11817243700037115	0,7727362818191013	0,4396784697560321	1	1	1	1
hsa-miR-181a-2-3p	0,7311861438408891	1,4407082743562203	1,5587320839626921	0,924282170861316	0,3553394230006573	1	1	1	1
hsa-miR-181b-5p	948,8102601011137	0,05420243271491168	0,10938661653278672	0,4955124715706464	0,6202384207375118	1	1	1	1
hsa-miR-181c-5p	10,591765594835822	0,7582425139839772	0,5233365241168173	1,4488622120605614	0,14737606585559843	1	1	1	1
hsa-miR-181c-3p	4,291664446969644	-0,1298248672152547	0,7260331688490623	-0,17881396165557895	0,8580837821580907	1	1	1	1
hsa-miR-182-5p	5259,967886195265	0,09841187213944076	0,11524311741794661	0,8539501043045825	0,39313263609370447	1	1	1	1
hsa-miR-183-5p	56,12457217417561	0,3257214481135617	0,24182836415305423	1,346911679505929	0,1780086794855201	1	1	1	1
hsa-miR-183-3p	1,3760467155033642	0,6289959483538023	1,0279196597675562	0,6119115850902563	0,5405962562504869	1	1	1	1
hsa-miR-187-3p	2,9724376501110434	0,5760664618689271	0,7575584085016869	0,7604251439942196	0,4470004983172393	1	1	1	1
hsa-miR-199b-5p	2,331515785339571	0,14464000781248462	0,8544652093497669	0,16927547924690012	0,865579962364875	1	1	1	1
hsa-miR-199b-3p	192,9607729946727	-0,05187618228865647	0,1577946876404592	-0,32875747000341476	0,7423390117321271	1	1	1	1
hsa-miR-203a-5p	0,27207483617068634	0	4,9973613946170765	0	1	1	1	1	1
hsa-miR-203a-3p	4,7782364805850275	2,89212186814709	2,5232644507779343	1,1461826235674328	NA	NA	NA	NA	NA
hsa-miR-204-5p	1,6400698737955623	0,47380428822072496	0,9928181621923656	0,47723168880639594	0,633197148279192	1	1	1	1
hsa-miR-205-5p	19,32908570355155	0,36891949954743236	2,236899404055214	0,16492449275037951	NA	NA	NA	NA	NA
hsa-miR-205-3p	0,46605330479601537	0,94775119892697	2,123170245557379	0,446384928815807	0,6553192175425739	1	1	1	1
hsa-miR-210-5p	0,8438109315474073	-0,9681093504649817	1,7649751392852613	-0,5485116072836155	0,5833406614358254	1	1	1	1
hsa-miR-210-3p	215,99541639709787	0,3251275127693236	0,18485554196794446	1,7588193965302026	0,07860818917268107	1	1	1	1
hsa-miR-211-5p	0,27887547325518797	0	4,997361394621231	0	1	1	1	1	1
hsa-miR-212-5p	2,600889916484517	-1,1396649701172128	0,7372734942579686	-1,5457831849281825	0,122156939346264	1	1	1	1
hsa-miR-212-3p	5,521007852873071	-0,4155286321070434	0,5586468858781015	-0,7438126705994259	0,45698981360274743	1	1	1	1
hsa-miR-181a-3p	4,2176998806730515	0,680499959393609	0,5166179009294904	1,3172210218989018	0,18776454939312665	1	1	1	1
hsa-miR-214-3p	1046,7419462015487	-0,2740210652492846	0,226519308921594	-1,2097029015046685	0,22639291610666498	1	1	1	1
hsa-miR-215-5p	8,769073124220702	0,24381567644093716	0,5500583769446974	0,44325418293820523	0,6575818917170786	1	1	1	1
hsa-miR-217-5p	0,9212402444383776	-0,6683960123834798	1,4780428867973616	-0,45221692709591604	0,6511127149928944	1	1	1	1
hsa-miR-218-5p	37,72676505598065	0,02815341864323841	0,23051453295163304	0,12213294442977965	0,9027937312920539	1	1	1	1
hsa-miR-219a-1-3p	0,3540093910559875	0,47070862914125683	2,9607344622132623	0,1589837370249624	0,8736816868340036	1	1	1	1
hsa-miR-221-5p	392,2770778790267	-0,14660535292955382	0,14179739139165723	-1,033907263671844	0,30117951896348905	1	1	1	1
hsa-miR-221-3p	442,51589374574127	-0,08345406473551373	0,1225043813126916	-0,6812333064439369	0,49572387632244763	1	1	1	1
hsa-miR-222-5p	49,030549075455426	0,5437626456939526	0,40045016082998736	1,357878455004065	0,17450225488694596	1	1	1	1
hsa-miR-222-3p	1850,367374647023	0,0628397126246674	0,1061010144955161	0,5922630704659572	0,5536744410732346	1	1	1	1
hsa-miR-223-5p	9,096346572967596	0,40461677846875804	0,47377904681629246	0,854019993471024	0,39309391153207557	1	1	1	1
hsa-miR-223-3p	339,81614697772096	-0,12335693714567303	0,16726239468321596	-0,7375055067177712	0,46081499567885015	1	1	1	1
hsa-miR-224-5p	939,7525645112985	0,13376550337946566	0,13372884858369713	1,0002740978940352	0,31717787871007336	1	1	1	1
hsa-miR-224-3p	3,712221621646766	-0,5892641170917663	0,6556099827483489	-0,8988028440652207	0,36875768495047356	1	1	1	1
hsa-miR-200b-5p	4,8814358241003495	-0,11394001557591961	0,7443696564986108	-0,15306912980826518	0,8783437598007799	1	1	1	1
hsa-miR-200b-3p	94,15112961423507	0,26867208555872824	0,18866578403439394	1,424063652738162	0,1544280468991197	1	1	1	1
hsa-let-7g-5p	52,191908052173765	0,1487311357436537	0,21707750410140794	0,6851522287365799	0,4932478652717543	1	1	1	1
hsa-let-7g-3p	0,27476832105302923	1,5449084212824633	3,450069919264367	0,4477904672760582	0,6543044238312945	1	1	1	1
hsa-let-7i-5p	111,92434055695017	-0,0344638835981998	0,1793377690371194	-0,19217303629480556	0,8476066661568986	1	1	1	1
hsa-let-7i-3p	0,8930630658726445	1,1737108654514352	1,3988225180929594	0,8390706113678931	0,4014296866070997	1	1	1	1
hsa-miR-1-3p	1,7918208434794003	-2,8215702345467766	2,2368490019488263	-1,261403980370834	0,20716333498058745	1	1	1	1
hsa-miR-15b-5p	37,603101497431844	0,41483205133360973	0,25403622247433694	1,6329641784667799	0,10247653079282726	1	1	1	1
hsa-miR-15b-3p	1,0551870721610024	-0,4139668830090131	1,1156648460205454	-0,3710494997539698	0,7106006636107725	1	1	1	1
hsa-miR-23b-3p	510,25615806504607	-0,08370361402796109	0,11102586708914097	-0,7539109238458523	0,45090271073766036	1	1	1	1
hsa-miR-27b-5p	10,953442852340572	0,13432790789592464	0,3507291407729576	0,3829961422648967	0,701722624430362	1	1	1	1
hsa-miR-27b-3p	25,071093759506773	0,010566928313117799	0,2556243422318998	0,041337723242067415	0,9670266599614513	1	1	1	1
hsa-miR-30b-5p	51,212629024747045	0,17216472945513228	0,33894479101881547	0,5079432816702443	0,6114931201983951	1	1	1	1
hsa-miR-30b-3p	0,8222377261218646	0,9282300208830896	1,5188594342544441	0,6111362249520647	0,5411093997356952	1	1	1	1
hsa-miR-122-5p	0,3396480890395178	-1,0030931482585492	4,9958721518922315	-0,20078439114552174	0,8408671684481531	1	1	1	1
hsa-miR-125b-5p	108,73528472920776	-1,973153962210988e-5	0,15983630503521942	-1,2344842191992675e-4	0,9999015024103448	1	1	1	1
hsa-miR-125b-1-3p	3,287262509962933	0,5270231703234717	0,6323856943152057	0,8333888243537381	0,4046254754954279	1	1	1	1
hsa-miR-128-1-5p	0,39729578743271987	-1,694543182120101	1,6760141466081513	-1,011055417133231	0,31198990688053574	1	1	1	1
hsa-miR-128-3p	2,58523703418533	-1,3772960907762393	0,847233272233477	-1,6256397569767418	0,10402631247255689	1	1	1	1
hsa-miR-130a-3p	37,807742232874766	-0,08251372931540212	0,2515855746325341	-0,32797480314967054	0,7429307140080355	1	1	1	1
hsa-miR-132-3p	20,372138461897748	-0,1309652902289912	0,3020010024871372	-0,43365846189391133	0,6645364745978124	1	1	1	1
hsa-miR-133a-5p	0,718474058128237	-1,7438734396207105	2,1783585719743086	-0,8005447138301883	0,4233952679460881	1	1	1	1
hsa-miR-133a-3p	42,844831854957626	-2,2170303982106687	1,5095042389624334	-1,4687142579570083	0,14191030856510475	1	1	1	1
hsa-miR-138-5p	84,00657596994512	0,020026582794819836	0,41133638880959655	0,04868663055261551	0,9611690305142184	1	1	1	1
hsa-miR-140-5p	5,333396564226387	0,08474045935130624	0,5800127116760215	0,14610103821076223	0,883841626838876	1	1	1	1
hsa-miR-140-3p	17,982617014597793	-0,11460264651143473	0,3175005282737051	-0,36095261678632595	0,7181348687729789	1	1	1	1
hsa-miR-141-5p	0,8405801446958006	1,4181182903905345	2,4504874061791257	0,5787086629437967	0,5627857696621665	1	1	1	1
hsa-miR-141-3p	6,553564681683909	0,16327869860540795	0,7942524369639219	0,20557531964214132	0,8371226578129933	1	1	1	1
hsa-miR-142-5p	0,3353937313223044	0,9515900101847885	2,1324431354141393	0,44624402610388075	0,6554209839441505	1	1	1	1
hsa-miR-142-3p	3,020241744469208	-0,555730294006406	0,789378395750823	-0,7040100121790375	0,48142653847919575	1	1	1	1
hsa-miR-143-5p	0,2901002380958718	-1,2760525114675725	2,0445673918252307	-0,6241185869292438	0,5325497081261187	1	1	1	1
hsa-miR-143-3p	23,81121045936959	0,22259852124159973	0,25822997635453593	0,8620165806621299	0,38867839375689195	1	1	1	1
hsa-miR-145-5p	391,1055493017179	-0,09767769526090338	0,20748198222996678	-0,47077675955804377	0,6378001625379885	1	1	1	1
hsa-miR-145-3p	0,7664516384687808	0,059292339429614226	1,149121451387642	0,05159797457267438	0,958849033248872	1	1	1	1
hsa-miR-152-3p	26,738335797517795	-0,1805064636070851	0,22155671187099477	-0,814719003918907	0,415233172808371	1	1	1	1
