mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-34c-5p	2.580210370108496	-0.06865014358268207	0.8664768128317574	-0.07922906021953963	0.9368504305270848	1
hsa-miR-34c-3p	0.9813119207105947	-0.891479567611524	1.4192621121043223	-0.6281289129107649	0.5299194939070115	1
hsa-miR-299-5p	4.327336457107764	-0.48580940900808245	0.6680483123576818	-0.7272069998853222	0.46709915877676694	1
hsa-miR-299-3p	1.3426023830273022	0.21934844415112834	1.1569623002545861	0.18958996684927534	0.8496304499113179	1
hsa-miR-301a-3p	241.69552726731848	-0.05206287308041561	0.2124735250692776	-0.24503228373248082	0.8064314343629568	1
hsa-miR-99b-5p	57.88822880626006	0.2976098040207233	0.23286603961414498	1.278030083364056	0.20123881920854358	1
hsa-miR-99b-3p	14.49477529169117	0.42619022573474896	0.28996839346158576	1.469781656707387	0.14162089872496553	1
hsa-miR-296-3p	0.25471507650406805	0.1627441882632775	2.3695931441889733	0.06868022413990356	0.9452441598779233	1
hsa-miR-130b-3p	25.253490923510448	-0.3608343745196585	0.23771254605713543	-1.517944174612181	0.12902847250508387	1
hsa-miR-30e-5p	28.491455209867453	0.1483806260499031	0.2891875414709827	0.5130948079407208	0.6078850032467766	1
hsa-miR-30e-3p	1.1507453730450032	1.7823092282584818	1.1381299117194308	1.5659980551480777	0.11734907246289729	1
hsa-miR-361-5p	47.661907928941694	-0.04811565800666275	0.15932915841544046	-0.30198903003808186	0.7626604255483722	1
hsa-miR-361-3p	15.118193146634518	-0.06216647079619682	0.28138368344319237	-0.2209313277709914	0.8251459040405655	1
hsa-miR-362-5p	290.92806568336476	-0.10364098965184912	0.23335685081678045	-0.4441309063311905	0.6569479426433964	1
hsa-miR-362-3p	0.3717987925832003	1.9711138476739871	2.0724357176415027	0.951109764657587	0.3415486583533358	1
hsa-miR-365a-5p	0.3384618303329258	-1.182612508911402	2.3030678614494424	-0.5134944257209691	0.6076055090578214	1
hsa-miR-365a-3p	3.1153610297081773	-1.1480209546463818	0.7278289125240424	-1.5773225477745214	0.11472132678895483	1
hsa-miR-365b-5p	0.689543257048509	-0.20451676094921262	1.6531088641804392	-0.12371645048954823	0.9015397861214655	1
hsa-miR-365b-3p	3.1153610297081773	-1.1480209546463818	0.7278289125240424	-1.5773225477745214	0.11472132678895483	1
hsa-miR-374a-5p	1.9981020394161326	0.47224107810741317	0.8328280816509779	0.5670330870343061	0.5706917022847371	1
hsa-miR-376a-3p	0.6303487424753005	0.13977200193742237	1.4930882118661568	0.09361268867210894	0.9254168297773363	1
hsa-miR-378a-5p	5.417318533266722	-0.9371586689188409	0.5854767980562552	-1.6006760165904894	0.10944869583738272	1
hsa-miR-378a-3p	81.76179843449106	0.0550876526021478	0.18404615862156967	0.2993143297025689	0.764700221970652	1
hsa-miR-379-5p	0.9847833531079648	1.546469479784992	1.286619087788365	1.2019637315060334	0.22937758027285957	1
hsa-miR-380-5p	0.2730982599212109	0.6436560893134269	4.99083395452023	0.12896764251803317	0.89738325249413875	1
hsa-miR-380-3p	0.2999832646386106	0.2480913375598522	3.0050532175778275	0.08255805125468695	0.9342029576053679	1
hsa-miR-381-3p	0.6513968031759452	0.7438897392263771	1.9061103695351818	0.3902658267410716	0.6963399901085852	1
hsa-miR-382-5p	1.0139821630795565	1.7450918810150713	1.2712592735327586	1.372726962428017	0.16983724388964158	1
hsa-miR-340-5p	2.2683986861522274	-0.9014970047611728	0.9941315589903382	-0.9068186163174952	0.36450272360591446	1
hsa-miR-340-3p	0.4111106798855822	1.6549548301439043	2.257200732682714	0.7331890363941924	0.4634431412710805	1
hsa-miR-330-5p	0.590284763160689	0.8684611291651769	1.6146337710065433	0.5378688001947269	0.5906676294879678	1
