Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SIM5_1_mature_hairpin	7267322.0	0.0	7267322.0	1.0	7267322.0	0.0	36057.0	0.0	7231265.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188676826.0	188676826.0	0.0	725578.0	725578.0	0.0	0.0	40462.0	0.0557652	25.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49615250294400054	0.0	99.503847497056	0.0	0.0	0.0	0.0	0.0
SIM6_1_mature	6177252.0	0.0	6177252.0	1.0	6177252.0	0.0	63115.0	0.0	6114137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160038371.0	160038371.0	0.0	1092069.0	1092069.0	0.0	0.0	6694.0	0.006129649	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0217326409866394	0.0	98.97826735901336	0.0	0.0	0.0	0.0	0.0
SIM6_1_mature_hairpin	6118579.0	0.0	6118579.0	1.0	6118579.0	0.0	26994.0	0.0	6091585.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159030164.0	159030164.0	0.0	540478.0	540478.0	0.0	0.0	30644.0	0.05669796	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44118086895666464	0.0	99.55881913104334	0.0	0.0	0.0	0.0	0.0
VPA1_1_mature	7895186.0	0.0	7895186.0	1.0	7895186.0	0.0	52768.0	0.0	7842418.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201009245.0	201009245.0	0.0	914199.0	914199.0	0.0	0.0	9395.0	0.01027676	25.0	25.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.668356641629469	0.0	99.33164335837054	0.0	0.0	0.0	0.0	0.0
VPA1_1_mature_hairpin	7847303.0	0.0	7847303.0	1.0	7847303.0	0.0	33992.0	0.0	7813311.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200185876.0	200185876.0	0.0	663735.0	663735.0	0.0	0.0	45260.0	0.06818987	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43316793043418866	0.0	99.56683206956582	0.0	0.0	0.0	0.0	0.0
VPA2_1_mature	7009780.0	0.0	7009780.0	1.0	7009780.0	0.0	38664.0	0.0	6971116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181784023.0	181784023.0	0.0	669466.0	669466.0	0.0	0.0	7571.0	0.01130901	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5515722319388054	0.0	99.4484277680612	0.0	0.0	0.0	0.0	0.0
VPA2_1_mature_hairpin	6975300.0	0.0	6975300.0	1.0	6975300.0	0.0	32300.0	0.0	6943000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181193071.0	181193071.0	0.0	673035.0	673035.0	0.0	0.0	33265.0	0.04942536	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4630625206084326	0.0	99.53693747939157	0.0	0.0	0.0	0.0	0.0
VPA3_1_mature	7214300.0	0.0	7214300.0	1.0	7214300.0	0.0	53026.0	0.0	7161274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184261611.0	184261611.0	0.0	917791.0	917791.0	0.0	0.0	7222.0	0.007868893	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7350124059160279	0.0	99.26498759408398	0.0	0.0	0.0	0.0	0.0
VPA3_1_mature_hairpin	7167231.0	0.0	7167231.0	1.0	7167231.0	0.0	30733.0	0.0	7136498.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183455691.0	183455691.0	0.0	628561.0	628561.0	0.0	0.0	31849.0	0.0506697	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42879879272762383	0.0	99.57120120727238	0.0	0.0	0.0	0.0	0.0
VPA4_1_mature	6926646.0	0.0	6926646.0	1.0	6926646.0	0.0	49010.0	0.0	6877636.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177730077.0	177730077.0	0.0	848086.0	848086.0	0.0	0.0	6874.0	0.00810531	25.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7075574527700708	0.0	99.29244254722992	0.0	0.0	0.0	0.0	0.0
VPA4_1_mature_hairpin	6882348.0	0.0	6882348.0	1.0	6882348.0	0.0	28110.0	0.0	6854238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176970355.0	176970355.0	0.0	581005.0	581005.0	0.0	0.0	33009.0	0.05681362	25.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4084361906721369	0.0	99.59156380932787	0.0	0.0	0.0	0.0	0.0
VPA5_1_mature	6815278.0	0.0	6815278.0	1.0	6815278.0	0.0	44830.0	0.0	6770448.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181835266.0	181835266.0	0.0	776530.0	776530.0	0.0	0.0	7997.0	0.01029838	26.0	27.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6577868136853698	0.0	99.34221318631464	0.0	0.0	0.0	0.0	0.0
VPA5_1_mature_hairpin	6776567.0	0.0	6776567.0	1.0	6776567.0	0.0	31071.0	0.0	6745496.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181171713.0	181171713.0	0.0	614295.0	614295.0	0.0	0.0	37840.0	0.06159907	26.0	27.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4585064974639814	0.0	99.54149350253601	0.0	0.0	0.0	0.0	0.0
VPA6_1_mature	8892633.0	0.0	8892633.0	1.0	8892633.0	0.0	51659.0	0.0	8840974.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223498720.0	223498720.0	0.0	894543.0	894543.0	0.0	0.0	11530.0	0.01288926	25.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5809190596305953	0.0	99.41908094036941	0.0	0.0	0.0	0.0	0.0
VPA6_1_mature_hairpin	8845079.0	0.0	8845079.0	1.0	8845079.0	0.0	29120.0	0.0	8815959.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222681507.0	222681507.0	0.0	617165.0	617165.0	0.0	0.0	28866.0	0.04677193	25.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3292226106742518	0.0	99.67077738932575	0.0	0.0	0.0	0.0	0.0
VPASM1_1_mature	8188500.0	0.0	8188500.0	1.0	8188500.0	0.0	60330.0	0.0	8128170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207792548.0	207792548.0	0.0	1044263.0	1044263.0	0.0	0.0	5228.0	0.005006402	25.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.736764975270196	0.0	99.2632350247298	0.0	0.0	0.0	0.0	0.0
VPASM1_1_mature_hairpin	8131587.0	0.0	8131587.0	1.0	8131587.0	0.0	27344.0	0.0	8104243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206815451.0	206815451.0	0.0	627162.0	627162.0	0.0	0.0	25472.0	0.04061471	25.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33626892265925457	0.0	99.66373107734074	0.0	0.0	0.0	0.0	0.0
VPASM2_1_mature	8965946.0	0.0	8965946.0	1.0	8965946.0	0.0	52308.0	0.0	8913638.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233896430.0	233896430.0	0.0	906275.0	906275.0	0.0	0.0	10961.0	0.01209456	26.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5834074842743867	0.0	99.41659251572561	0.0	0.0	0.0	0.0	0.0
VPASM2_1_mature_hairpin	8918885.0	0.0	8918885.0	1.0	8918885.0	0.0	43976.0	0.0	8874909.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233088338.0	233088338.0	0.0	884004.0	884004.0	0.0	0.0	54493.0	0.06164338	26.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4930661175696289	0.0	99.50693388243037	0.0	0.0	0.0	0.0	0.0
VPASM3_1_mature	5395904.0	0.0	5395904.0	1.0	5395904.0	0.0	55098.0	0.0	5340806.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139846181.0	139846181.0	0.0	953521.0	953521.0	0.0	0.0	6314.0	0.006621773	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0211078625564873	0.0	98.97889213744351	0.0	0.0	0.0	0.0	0.0
VPASM3_1_mature_hairpin	5344739.0	0.0	5344739.0	1.0	5344739.0	0.0	29555.0	0.0	5315184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138967355.0	138967355.0	0.0	598931.0	598931.0	0.0	0.0	30115.0	0.05028125	26.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.552973681221852	0.0	99.44702631877816	0.0	0.0	0.0	0.0	0.0
VPASM5_1_mature	9174324.0	0.0	9174324.0	1.0	9174324.0	0.0	28929.0	0.0	9145395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240982448.0	240982448.0	0.0	503414.0	503414.0	0.0	0.0	10385.0	0.02062914	26.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3153256850313985	0.0	99.6846743149686	0.0	0.0	0.0	0.0	0.0
VPASM5_1_mature_hairpin	9150461.0	0.0	9150461.0	1.0	9150461.0	0.0	42270.0	0.0	9108191.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240571429.0	240571429.0	0.0	822836.0	822836.0	0.0	0.0	53066.0	0.06449158	26.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46194393921792576	0.0	99.53805606078208	0.0	0.0	0.0	0.0	0.0
